id,date,apt,type,category,amount,posFee,myShare,desc,method,platform
1770477230198,2025-04-11,Loft2-518,Expense,Water Fee,154,0,-154,,-,-
1770477293328,2025-09-21,Loft2-518,Expense,Other,80,0,-80,curtains,-,-
1770477325010,2025-10-07,Loft2-518,Expense,Cleaning,150,0,-150,,-,-
1770477354212,2025-11-07,Loft2-518,Expense,Utility,1134,0,-1134,,-,-
1770477389345,2025-11-15,Loft2-518,Expense,Other,285,0,-285,sally help + sink,-,-
1770477412949,2025-12-24,Loft2-518,Expense,Other,362,0,-362,refund,-,-
1770478598770,2026-02-07,Loft2-518,Income,Rent,2339.52,56.14848,2283.37152,5868025392,POS,Booking.com
1770478671987,2026-01-18,Loft2-518,Income,Rent,911,0,911,,Bank,Direct
1770478730702,2025-12-21,Loft2-518,Income,Rent,1721.48,0,1721.48,6180060116,Cash,Booking.com
1770478754528,2025-12-29,Loft2-518,Income,Rent,1856.3,44.5512,1811.7487999999998,4482859904,POS,Booking.com
1770478807778,2026-01-03,Loft2-518,Income,Rent,929.06,27.871799999999997,901.1881999999999,6120749518,Online,Booking.com
1770478833928,2026-01-05,Loft2-518,Income,Rent,1404.3,33.7032,1370.5968,6838019398,POS,Booking.com
1770478861957,2026-01-12,Loft2-518,Income,Rent,1562,37.488,1524.512,	5201871401,POS,Booking.com
1770478887119,2026-01-17,Loft2-518,Income,Rent,458,13.74,444.26,5638011979,Online,Booking.com
1770478915082,2026-01-24,Loft2-518,Income,Rent,1254,0,1254,5162269754,Tinkoff,Booking.com
1770478937140,2026-01-30,Loft2-518,Income,Rent,1820.7,43.6968,1777.0032,4347890028,POS,Booking.com
1770479011386,2026-01-03,Loft2-518,Expense,Booking.com Fee,309.9,0,-309.9,december,-,-
1770479050311,2026-01-06,Loft2-518,Expense,Other,50,0,-50,sally,-,-
1770479087878,2026-01-28,Loft2-518,Expense,Cleaning,490,0,-490,,-,-
1770479120628,2026-01-16,Loft2-518,Expense,Utility,1134,0,-1134,utility part 2,-,-
1770479141711,2026-01-28,Loft2-518,Expense,Electricity,16,0,-16,,-,-
1770479172515,2026-01-30,Loft2-518,Expense,Repair,50,0,-50,tube kitchen,-,-
1770479195420,2026-01-30,Loft2-518,Expense,Other,150,0,-150,pizza guests,-,-
1770479209336,2026-02-07,Loft2-518,Expense,Cleaning,70,0,-70,,-,-
1770479345266,2025-12-28,Loft2-518,Expense,Cleaning,220,0,-220,,-,-
1770479529728,2026-02-03,Loft2-518,Expense,Booking.com Fee,1344,0,-1344,January,-,-
1770480138808,2025-12-23,F2-227,Income,Rent,919.6,22.0704,448.76480000000004,	6761477004,POS,Booking.com
1770480162825,2025-12-27,F2-227,Income,Rent,2672.74,64.14576,1304.29712,6616183507,POS,Booking.com
1770480188912,2026-01-03,F2-227,Income,Rent,2046.37,49.11288,998.62856,5260069465,POS,Booking.com
1770480208536,2026-01-09,F2-227,Income,Rent,2113.82,50.731680000000004,1031.5441600000001,5346946681,POS,Booking.com
1770480233258,2026-01-17,F2-227,Income,Rent,1452.16,34.85184,708.65408,	5253963800,POS,Booking.com
1770480280169,2026-01-30,F2-227,Income,Rent,511.84,12.28416,249.77792,5065288992,POS,Booking.com
1770480325801,2026-01-31,F2-227,Income,Rent,1603.28,38.47872,782.40064,5695012075,POS,Booking.com
1770480356365,2026-02-06,F2-227,Income,Rent,1002.4,24.0576,489.1712,5898401953,POS,Booking.com
1770480400993,2025-12-28,F2-419,Income,Rent,1701.51,40.836240000000004,830.33688,	5695562904,POS,Booking.com
1770480433307,2026-01-02,F2-419,Income,Rent,669.4,16.0656,326.6672,	6550001315,POS,Booking.com
1770480455052,2026-01-04,F2-419,Income,Rent,1313.6,31.5264,641.0368,6129457916,POS,Booking.com
1770480494365,2026-01-08,F2-419,Income,Rent,824.8,19.795199999999998,402.50239999999997,	5438604424,POS,Booking.com
1770480518148,2026-01-11,F2-419,Income,Rent,1468.87,35.25288,716.8085599999999,5409869602,POS,Booking.com
1770480541715,2026-01-21,F2-419,Income,Rent,1141.64,27.39936,557.12032,	5058086686,POS,Booking.com
1770480566169,2026-01-26,F2-419,Income,Rent,665.44,15.97056,324.73472000000004,6383508720,POS,Booking.com
1770480585665,2026-01-31,F2-419,Income,Rent,1499.96,35.99904,731.9804800000001,	6633404397,POS,Booking.com
1770480603727,2026-02-07,F2-419,Income,Rent,2520.77,60.49848,1230.13576,	5524910405,POS,Booking.com
1770481565560,2026-02-07,F2-419,Expense,Cleaning,700,0,-700,,-,-
1770481769169,2026-01-24,F2-227,Income,Rent,1150,0,1150,,Bank,Airbnb
1770481911390,2026-01-08,F2-419,Expense,Cleaning,100,0,-100,last minute cleaning,-,-
1770481975277,2026-02-07,F2-227,Expense,Cleaning,700,0,-700,,-,-
1770482042752,2026-01-03,F2-227,Expense,Booking.com Fee,111.5,0,-111.5,December,-,-
1770482058769,2026-01-03,F2-419,Expense,Booking.com Fee,100,0,-100,December,-,-
1770482154919,2026-02-03,F2-419,Expense,Booking.com Fee,1814,0,-1814,January fee,-,-
1770482167027,2026-02-03,F2-227,Expense,Booking.com Fee,2000,0,-2000,January fee,-,-
1770482707277,2026-02-07,F2-419,Expense,Internet,20,0,-20,,-,-
1770482725646,2026-02-07,F2-227,Expense,Internet,72,0,-72,,-,-
1770482985783,2026-01-05,Shared,Expense,Accountant,150,0,-150,,-,-
1770483234651,2026-02-07,Shared,Expense,POS Terminal fee,60,0,-60,,-,-
1770483930810,2026-01-29,F2-419,Expense,Electricity,23,0,-23,,-,-
1770483945769,2026-01-29,F2-227,Expense,Electricity,30,0,-30,,-,-
1770484025869,2026-01-29,Loft2-518,Expense,Electricity,16,0,-16,,-,-
1770487486835,2026-02-07,Uri,Payout,Payout,5000,0,-5000,owes 1847 from the excel on this day,-,-
1770487703056,2026-02-07,F2-227,Income,Rent,105,3.15,101.85,5% prepayment,Online,Website
1770487730106,2026-02-07,F2-419,Income,Rent,105,3.15,101.85,5% prepayment,Online,Website
1770488034389,2026-02-07,Uri,Payout,Payout,105,0,-105,5% prepayment,-,-
1770490473013,2026-02-06,F2-419,Income,Rent,320,0,320,,Tinkoff,Direct
1770490624437,2026-02-06,Uri,Payout,Payout,160,0,-160,,-,-
1770493154338,2026-02-15,F2-227,Income,Rent,400,0,400,,Tinkoff,Direct
1770493168638,2026-02-07,Uri,Payout,Payout,200,0,-200,,-,-
1770498435404,2026-02-09,F2-227,Income,Rent,2049.16,49.17984,1999.9801599999998,6831553744,POS,Booking.com
1770498505358,2026-02-28,F2-227,Income,Rent,3271.87,78.52488,3193.34512,5012038668,POS,Booking.com
1770498573747,2026-02-14,F2-419,Income,Rent,1823.9,43.7736,1780.1264,5616361296,POS,Booking.com
1770498704185,2026-01-01,Uri,Payout,Payout,6000,0,-6000,,-,-
1770498757780,2025-02-07,Uri,Payout,Payout,80,0,-80,,-,-
